epoch,loss
0,1079.4696102783203
1,608.1700900634766
2,569.897161730957
3,532.5280704040528
4,502.3665753234863
5,483.9586358764648
6,465.57045966796875
7,455.9256640991211
8,452.0500364562988
9,443.95225942993164
10,445.089530078125
11,431.3101283752441
12,427.75408302001955
13,486.59891048583984
14,437.7097337585449
15,419.54065494995115
16,414.5496421936035
17,450.20541232910153
18,426.9568437866211
19,452.8172838317871
20,515.5988848083496
21,418.7918432006836
22,405.2067036010742
23,469.551202734375
24,477.93183137817385
25,411.5325928161621
26,400.6089761047363
27,398.97594393310544
28,396.3856731506348
29,474.40710573120117
30,400.1697520263672
31,428.93802579345703
32,395.0401190979004
33,392.1554393493652
34,459.3688411804199
35,413.9155462097168
36,391.7438814819336
37,394.3269985168457
38,388.0589821716309
39,426.60585639038084
40,391.7106163269043
41,389.7682640258789
42,410.475508972168
43,388.23231326904295
44,384.4595546081543
45,409.1965147705078
46,386.3271197509766
47,382.64926954956053
48,381.91304103393554
49,383.1454582885742
50,380.65667487182617
51,404.62413555297854
52,382.9506311340332
53,380.85468670043946
54,378.9753027404785
55,393.33067647705076
56,379.5344772583008
57,377.9340927307129
58,377.41464096069336
59,376.9807070495605
60,400.7824473632813
61,376.78538388061526
62,377.7750314880371
63,396.1765409729004
64,375.56282362670896
65,375.2118772033691
