epoch,loss
0,628.1143976745606
1,292.5806607940674
2,273.02918927917483
3,259.1648164337158
4,250.2619693206787
5,248.71164453735352
6,245.25737160949706
7,246.87207785339356
8,240.11940024414062
9,235.91248208007812
10,239.6060741882324
11,232.5994017791748
12,230.3500306060791
13,262.0508254608154
14,294.4891889251709
15,257.12173585510254
16,242.39719256286622
17,240.09611539916992
18,233.27405108642577
19,231.20519643554687
20,228.49683534851073
21,245.49062550048828
22,234.9350379547119
23,226.93917975769043
24,224.40674900512695
25,226.60195598754882
26,224.0423685913086
27,225.47526760253905
28,221.70471419372558
29,221.39101314086915
30,220.22776762695312
31,218.7836519317627
