epoch,loss
0,1189.8720528320312
1,591.1583820556641
2,557.4761102905273
3,526.5939938171387
4,506.28843798828126
5,535.8055255310059
6,510.90414688110354
7,488.57820584106446
8,479.9576250061035
9,471.79059022216796
10,465.33349385986327
11,482.57100487670897
12,462.97354612426756
13,471.9729006530762
14,451.8424677734375
15,446.4838370239258
16,443.6096733642578
17,437.4392911193848
18,443.7917161010742
19,433.1313390991211
20,429.53251275024417
21,502.6451619018555
22,475.68686948242186
23,432.1160942993164
24,424.29807299194334
25,422.2167704772949
26,420.64047808227537
27,461.95324688720706
28,436.12434727172854
29,420.8361637145996
30,417.36062818603517
31,428.39584704589845
32,415.5324723327637
33,412.2848495422363
34,449.9404596435547
35,415.88219970092774
36,409.9059123352051
37,409.32215116577146
38,408.83900356445315
39,407.0106137512207
40,406.06587720947266
41,425.5047284362793
42,452.5521492370605
43,427.78055326538083
44,454.34676503295896
45,406.7438664489746
46,403.94644642333986
47,403.18411953125
48,402.5374018432617
