epoch,loss
0,1213.571509790039
0,1263.1842508589173,409.5760379900251
1,619.6834483682429,379022.5559375
2,558.7812703521836,375407.5742857143
3,546.0859931290281,1403076.9664285714
4,523.6895776892878,1654356.69
5,508.9850467580272,2319.0213556780136
6,494.5707401923197,2320.5287646484376
7,482.9059931279279,1261.1438527134487
8,474.042909547121,1226.8197408621652
9,466.9735616786719,646.2336402239118
10,459.698420594313,752.2146486990792
11,454.29101534228835,684.5890719168527
12,449.29772777622316,734.4965850830079
13,444.3291575913675,685.2406634521484
14,440.42539990251487,765.447406703404
15,436.6470594319213,752.775880998884
16,519.5911953569104,580.6658378383091
17,451.75123541024425,860.8868111746651
18,451.243285498685,492.4992352294922
19,441.51262935051994,808.7975936453684
20,563.1716702302901,549.4005899483817
21,524.7108811803078,765.9385954938616
22,529.3432282976466,1143.2122065080914
23,462.6251331469159,807.831985648019
24,22.161564273385327,1227.0050038364955
25,18.159913864399325,1848.278531842913
26,17.12734818933723,2173.394868861607
27,16.7190973924392,1388.462369733538
28,16.51749093194693,1520.3166050502232
29,16.242210757629728,1547.4972586495535
30,16.175449902133188,1810.343428606306
31,15.893062121878879,1697.5888413783482
32,15.844655897582482,1698.494408656529
33,15.692892800227487,1573.2111614118303
34,16.17319268022824,1298.801081891741
35,15.645087086444027,1538.6771276855468
36,15.558325686197875,1690.7718221609932
37,15.51196325409096,1636.90434047154
38,15.481566400344592,1719.1423850795202
39,15.469124253893352,1576.8059214564732
40,43.95907695561307,1041.6535944475447
41,20.275081235231248,1342.3283400181363
42,15.8128205603579,1518.4247719029017
43,15.57381023382725,1491.1661450195313
44,15.429040997495159,1503.9167963518414
45,15.247021584765792,1532.561668875558
46,20.440858717017253,1799.1143647112165
47,16.7700709043656,2123.6488483537946
48,15.281696042599055,2116.2748479352676
49,34.089906832605045,1756.4522839355468
50,16.25961319592776,1747.8008218819755
51,15.108553554084102,1744.549406389509
52,15.212949105644189,1689.523131452288
53,15.028447280696588,1580.9894886997768
