epoch,loss,val_loss
0,2.6503490915700763,1.8260086783052243
1,1.70886681893643,1.6692037028110696
2,1.6118074143396328,1.5223002298644006
3,1.557835564600028,1.5445639247656433
4,1.530101083734746,1.5776943053474373
5,1.5193157654546063,1.4797858647684852
6,1.5058510466919428,1.4880363791146864
7,1.495445751710447,1.4867454830145799
8,1.4882141301390461,1.5683274096118915
9,1.4827146961549518,1.4665056973695756
10,1.4783558229646467,1.473576966825908
11,1.4771655755502604,1.4447813884663592
12,1.4758305232753266,1.5043297096311294
13,1.4659307529883392,1.4874925876735512
14,1.453586773576963,1.516474322706743
15,1.4538967910413145,1.548016193276418
16,1.450872810224255,1.624209074746547
17,1.4501801705891117,1.6274287685087532
18,1.4462141489936873,1.6202468679882938
19,1.44488334631562,1.5895080410907698
20,1.4442177252886523,1.659271374161499
21,1.4405194057102493,1.5741769152014788
22,1.4371472991634677,1.5340236370072755
23,1.4361667833813472,1.6168747207249752
24,1.4333191324774086,1.5920221724438743
25,1.4360745798992096,1.5643821607017743
26,1.4352689957711204,1.5549310048225362
27,1.4306486052694178,1.5796462132375135
28,1.4314602569873316,1.6551566374203197
29,1.4300572397399,1.5800403639462657
30,1.4298773432101641,1.6369031658072952
31,1.4264353192921952,1.56325789250739
32,1.426591367686025,1.7049824450999405
33,1.4258825559559252,1.5953785815990122
34,1.4253288423754285,1.6074328253888022
35,1.422901862095974,1.6722046646221955
36,1.4201407009669038,1.5379311017950628
37,1.4274405222244984,1.6956674322908984
38,1.4194839787338838,1.6090125272185645
39,1.4223529692549277,1.606472868385375
40,1.4227262249798462,1.6078030957032454
41,1.4184215821266573,1.8106262647767173
42,1.4181507263766857,1.5761972329123914
43,1.4175327779787896,1.6535419629152266
44,1.4199837240518565,1.6017741931537723
45,1.4151381089265012,1.6115605851735226
46,1.4166300094410815,1.6882626613983973
47,1.4148261122991292,1.6356238385480284
48,1.415886137506874,1.5881688085851797
49,1.4138261098413727,1.6424108607253818
50,1.4153483485247083,1.7048270895090012
51,1.4127939275324566,1.7478693156509073
52,1.4141947991356296,1.7393867707214896
53,1.413404251584948,1.6199955012237988
54,1.4143902443137246,1.6387974667154277
55,1.4157562079524617,1.6730601327840462
56,1.4161529676385827,1.6932515817203733
57,1.4132790327464906,1.6774919741960355
58,1.4123609689027727,1.7135527312285517
59,1.4106705184949475,1.670730024059112
60,1.4120128061973884,1.7390470903566584
61,1.4109399758260672,1.670037137120022
62,1.4128266491731525,1.5889966972078247
63,1.4085177751650544,1.678696357583398
64,1.4090486393481103,1.644146172636503
65,1.4106964907024095,1.5986637405980648
66,1.4105626929494721,1.680595432391114
67,1.4080330703711712,1.5858426277851834
68,1.407311699833691,1.6920066016162656
69,1.406828018118856,1.652996992688826
70,1.4109933727455481,1.6507010203853767
71,1.409111259259928,1.7327856566815723
72,1.4102054692199704,1.6516148914627096
73,1.4065428974515986,1.5654133184287073
74,1.4078282442570904,1.6041398543288654
75,1.4066291357197698,1.638526557899471
76,1.4050614679808213,1.7755046547775388
77,1.4045328354362985,1.7011531294449835
78,1.408838814592329,1.5797143469755581
79,1.4078705805834808,1.7234211491955567
80,1.4039176925381396,1.5495331550479694
81,1.4069550226732246,1.6553396233589586
82,1.4052274928296535,1.6241929277683658
83,1.4091004506483564,1.6251717030508472
84,1.4051279588646188,1.7285766536975133
85,1.40353551904247,1.5700160651223893
86,1.4045813087291923,1.654130677049774
87,1.4084239397588625,1.730830900808238
88,1.4039637528169686,1.646994442875829
89,1.400659227032765,1.6067866242364377
90,1.4030063035840685,1.6526514292045347
91,1.4044661426057072,1.6685706856025821
92,1.4037784340649133,1.6001958927145516
93,1.405610611587539,1.7685900496007516
94,1.4048759298242686,1.5727826183056606
95,1.4027479082507264,1.6187791562289564
96,1.4034131199961308,1.5988020099711362
97,1.4025872016643999,1.7131716338500427
98,1.4006002171925884,1.5964818220503323
99,1.401117401913847,1.7030447171266523
1,591.5806865480025,539.7854991666809
