epoch,loss
0,645.4992880554199
1,292.1006353515625
2,269.0042415496826
3,254.69328194274902
4,252.9339489929199
5,244.28791958312988
6,240.3284920349121
7,234.97377928771974
8,295.6833195892334
9,281.5439861450195
10,243.4296294342041
11,269.67093170166015
12,242.16532094726563
13,232.2787973602295
14,229.51860430908204
15,227.87768831176757
16,226.49297164916993
17,225.35428658447265
18,227.43067750549315
19,222.38802459716797
20,224.25742144470215
21,229.28396771850586
22,226.7743709197998
23,219.74768236999512
24,218.32511545715332
25,249.08244753112794
26,228.13783801574706
27,217.72683999023437
28,216.25272260131837
29,223.94391720581055
30,216.2233401977539
31,215.14317134399414
32,214.77589145812988
33,213.8986202636719
34,213.05872547607422
35,215.6748876739502
36,213.10018589782715
37,212.85140534667968
38,213.2788716430664
39,211.36161913452148
40,211.08561302490236
41,215.58532862548827
42,212.7030400177002
43,210.94870601196288
44,215.50612645568847
45,227.3760874206543
46,211.41502265930177
47,209.36344920043945
48,208.9342360839844
49,222.69500037841797
50,208.61917298583984
51,243.20856294250487
52,214.45766556091309
53,231.38680089111327
54,232.64786525878907
55,210.48979327087403
56,212.26925564575194
57,207.852542477417
58,221.24463119506837
59,219.1124051361084
60,209.3650338623047
61,207.77305260009766
62,208.24352729492188
63,209.79558045959473
64,230.80207681274413
65,221.56551510620116
66,255.69185234680177
67,211.42331088867186
68,207.18555600280763
69,207.15948316040038
70,207.26830511474608
71,206.3339595123291
72,205.71463447875976
73,218.66721871032715
74,210.75930946044923
75,210.02777493591307
76,214.32756097717285
77,213.9662934234619
78,205.0203287750244
79,205.27463412475586
80,209.3199705078125
81,224.36202165527342
82,209.29707649230957
83,213.80274007263185
84,207.3835486602783
85,206.28928249816894
86,204.82223829040527
87,214.38791720581054
88,212.9753684173584
89,204.33742425842286
90,204.0379706604004
91,203.37090377197265
92,203.41662953186034
93,203.45690737609863
94,213.12989076538085
95,217.52793528137207
96,203.78757428894042
97,210.88325148010253
98,211.27045307922364
99,202.7647054046631
